"","ensembl_gene_id","hgnc_symbol","chromosome_name","start_position","end_position","gene_length"
"137","ENSG00000007168","PAFAH1B1","17",2496504,2588909,92405
"138","ENSG00000007202","KIAA0100","17",26941458,26972472,31014
"139","ENSG00000007237","GAS7","17",9813926,10101868,287942
"140","ENSG00000007255","TRAPPC6A","19",45666186,45681495,15309
"141","ENSG00000007341","ST7L","1",113066140,113163447,97307
"142","ENSG00000007350","TKTL1","X",153524024,153558700,34676
"143","ENSG00000007372","PAX6","11",31806340,31839509,33169
"144","ENSG00000007376","RPUSD1","16",834974,838397,3423
"145","ENSG00000007384","RHBDF1","16",108058,126354,18296
"146","ENSG00000007392","LUC7L","16",238968,279462,40494
"147","ENSG00000007402","CACNA2D2","3",50400233,50541675,141442
"148","ENSG00000007516","BAIAP3","16",1383602,1399439,15837
"149","ENSG00000007520","TSR3","16",1399241,1401912,2671
"150","ENSG00000007541","PIGQ","16",616995,634136,17141
"151","ENSG00000007545","CRAMP1L","16",1662326,1727909,65583
"152","ENSG00000007866","TEAD3","6",35441374,35464853,23479
"153","ENSG00000007923","DNAJC11","1",6694228,6761984,67756
"154","ENSG00000007944","MYLIP","6",16129356,16148479,19123
"155","ENSG00000007968","E2F2","1",23832922,23857712,24790
"156","ENSG00000008018","PSMB1","6",170844205,170862429,18224
"157","ENSG00000008056","SYN1","X",47431303,47479252,47949
"158","ENSG00000008083","JARID2","6",15246527,15522252,275725
"159","ENSG00000008086","CDKL5","X",18443703,18671749,228046
"160","ENSG00000008118","CAMK1G","1",209757062,209787283,30221
"161","ENSG00000008130","NADK","1",1682671,1711896,29225
"162","ENSG00000008196","TFAP2B","6",50786436,50815326,28890
"163","ENSG00000008226","DLEC1","3",38080696,38165516,84820
"164","ENSG00000008256","CYTH3","7",6201407,6312275,110868
"165","ENSG00000008277","ADAM22","7",87563458,87832204,268746
"166","ENSG00000008282","SYPL1","7",105730949,105753022,22073
"167","ENSG00000008283","CYB561","17",61509665,61523739,14074
"168","ENSG00000008294","SPAG9","17",49039535,49198226,158691
"169","ENSG00000008300","CELSR3","3",48673902,48700348,26446
"170","ENSG00000008311","AASS","7",121715701,121784334,68633
"171","ENSG00000008323","PLEKHG6","12",6419602,6437672,18070
"172","ENSG00000008324","SS18L2","3",42623332,42636606,13274
"173","ENSG00000008382","MPND","19",4343524,4360083,16559
"174","ENSG00000008394","MGST1","12",16500076,16762193,262117
"175","ENSG00000008405","CRY1","12",107385142,107487607,102465
"176","ENSG00000008513","ST3GAL1","8",134467091,134584183,117092
"177","ENSG00000008710","PKD1","16",2138711,2185899,47188
"178","ENSG00000008735","MAPK8IP2","22",51039114,51052409,13295
"179","ENSG00000008838","MED24","17",38175350,38217468,42118
"180","ENSG00000008853","RHOBTB2","8",22844930,22877712,32782
"181","ENSG00000008869","HEATR5B","2",37195526,37311485,115959
"182","ENSG00000008952","SEC62","3",169684423,169716161,31738
"183","ENSG00000008988","RPS20","8",56979854,56987069,7215
"184","ENSG00000009307","CSDE1","1",115259534,115301297,41763
"185","ENSG00000009335","UBE3C","7",156931607,157062066,130459
"186","ENSG00000009413","REV3L","6",111620234,111804918,184684
"187","ENSG00000009694","TENM1","X",123509753,124097666,587913
"188","ENSG00000009709","PAX7","1",18957500,19075360,117860
"189","ENSG00000009780","FAM76A","1",28052490,28089633,37143
"190","ENSG00000009830","POMT2","14",77741299,77787227,45928
"191","ENSG00000009844","VTA1","6",142468367,142545826,77459
"192","ENSG00000009954","BAZ1B","7",72854728,72936608,81880
"193","ENSG00000010017","RANBP9","6",13621730,13711796,90066
"194","ENSG00000010072","SPRTN","1",231472850,231490769,17919
"195","ENSG00000010165","METTL13","1",171750788,171783163,32375
"196","ENSG00000010219","DYRK4","12",4671370,4723325,51955
"197","ENSG00000010244","ZNF207","17",30677136,30708905,31769
"198","ENSG00000010256","UQCRC1","3",48636435,48648409,11974
"199","ENSG00000010270","STARD3NL","7",38217824,38270272,52448
"200","ENSG00000010278","CD9","12",6308881,6347425,38544
"201","ENSG00000010292","NCAPD2","12",6602522,6641121,38599
"202","ENSG00000010295","IFFO1","12",6647541,6665239,17698
"203","ENSG00000010318","PHF7","3",52444673,52457657,12984
"204","ENSG00000010322","NISCH","3",52489134,52527087,37953
"205","ENSG00000010361","FUZ","19",50310126,50320633,10507
"206","ENSG00000010404","IDS","X",148558521,148615470,56949
"207","ENSG00000010539","ZNF200","16",3272325,3286221,13896
"208","ENSG00000010610","CD4","12",6896024,6929974,33950
"209","ENSG00000010626","LRRC23","12",6982733,7023407,40674
"210","ENSG00000010704","HFE","6",26087509,26098571,11062
"211","ENSG00000010803","SCMH1","1",41492872,41707826,214954
"212","ENSG00000010810","FYN","6",111981535,112194655,213120
"213","ENSG00000010818","HIVEP2","6",143072604,143266338,193734
"214","ENSG00000011007","TCEB3","1",24069645,24088549,18904
"215","ENSG00000011009","LYPLA2","1",24117460,24122029,4569
"216","ENSG00000011021","CLCN6","1",11866207,11903201,36994
"217","ENSG00000011028","MRC2","17",60704762,60770958,66196
"218","ENSG00000011105","TSPAN9","12",3186521,3395730,209209
"219","ENSG00000011114","BTBD7","14",93703896,93799438,95542
"220","ENSG00000011132","APBA3","19",3750817,3761697,10880
"221","ENSG00000011143","MKS1","17",56282803,56296966,14163
"222","ENSG00000011198","ABHD5","3",43731605,43775863,44258
"223","ENSG00000011201","KAL1","X",8496915,8700227,203312
"224","ENSG00000011243","AKAP8L","19",15490859,15529952,39093
"225","ENSG00000011258","MBTD1","17",49254786,49337524,82738
"226","ENSG00000011260","UTP18","17",49337889,49375297,37408
"227","ENSG00000011275","RNF216","7",5659678,5821370,161692
"228","ENSG00000011295","TTC19","17",15902694,15948329,45635
"229","ENSG00000011304","PTBP1","19",797075,812327,15252
"230","ENSG00000011332","DPF1","19",38701646,38720354,18708
"231","ENSG00000011347","SYT7","11",61282785,61348620,65835
"232","ENSG00000011376","LARS2","3",45429998,45590913,160915
"233","ENSG00000011405","PIK3C2A","11",17099277,17229530,130253
"234","ENSG00000011422","PLAUR","19",44150247,44174699,24452
"235","ENSG00000011426","ANLN","7",36429415,36493400,63985
"236","ENSG00000011451","WIZ","19",15532319,15560762,28443
"237","ENSG00000011454","RABGAP1","9",125703112,125867145,164033
"238","ENSG00000011465","DCN","12",91539025,91576900,37875
"239","ENSG00000011478","QPCTL","19",46195741,46207247,11506
"240","ENSG00000011485","PPP5C","19",46850251,46896238,45987
"241","ENSG00000011523","CEP68","2",65283500,65314138,30638
"242","ENSG00000011566","MAP4K3","2",39476407,39664453,188046
"243","ENSG00000011638","TMEM159","16",21169698,21191937,22239
"244","ENSG00000012048","BRCA1","17",41196312,41277500,81188
"245","ENSG00000012061","ERCC1","19",45910591,45982086,71495
"246","ENSG00000012171","SEMA3B","3",50304990,50314977,9987
"247","ENSG00000012174","MBTPS2","X",21857754,21903542,45788
"248","ENSG00000012232","EXTL3","8",28457986,28613116,155130
"249","ENSG00000012660","ELOVL5","6",53132196,53213947,81751
"250","ENSG00000012817","KDM5D","Y",21865751,21906825,41074
"251","ENSG00000012822","CALCOCO1","12",54104903,54121529,16626
"252","ENSG00000012963","UBR7","14",93673401,93695561,22160
"253","ENSG00000012983","MAP4K5","14",50885219,51027844,142625
"254","ENSG00000013016","EHD3","2",31456880,31492313,35433
"255","ENSG00000013275","PSMC4","19",40476912,40487348,10436
"256","ENSG00000013288","MAN2B2","4",6576902,6625089,48187
"257","ENSG00000013297","CLDN11","3",170136653,170578169,441516
"258","ENSG00000013306","SLC25A39","17",42396993,42402238,5245
"259","ENSG00000013364","MVP","16",29831715,29859355,27640
"260","ENSG00000013374","NUB1","7",151038785,151075535,36750
"261","ENSG00000013375","PGM3","6",83870869,83903655,32786
"262","ENSG00000013392","RWDD2A","6",83903098,83908651,5553
"263","ENSG00000013441","CLK1","2",201717732,201729422,11690
"264","ENSG00000013503","POLR3B","12",106751436,106903976,152540
"265","ENSG00000013523","ANGEL1","14",77253588,77292589,39001
"266","ENSG00000013561","RNF14","5",141337893,141369856,31963
"267","ENSG00000013563","DNASE1L1","X",153629579,153640449,10870
"268","ENSG00000013573","DDX11","12",31226779,31257725,30946
"269","ENSG00000013583","HEBP1","12",13127798,13153207,25409
"270","ENSG00000013619","MAMLD1","X",149529689,149682448,152759
"271","ENSG00000013810","TACC3","4",1723227,1746898,23671
"272","ENSG00000014123","UFL1","6",96969471,97003152,33681
"273","ENSG00000014138","POLA2","11",65029233,65073060,43827
"274","ENSG00000014164","ZC3H3","8",144519825,144623623,103798
"275","ENSG00000014216","CAPN1","11",64948037,64979477,31440
"276","ENSG00000014641","MDH1","2",63815743,63834331,18588
"277","ENSG00000014824","SLC30A9","4",41992489,42092474,99985
"278","ENSG00000014914","MTMR11","1",149900543,149908791,8248
"279","ENSG00000014919","COX15","10",101471601,101491857,20256
"280","ENSG00000015133","CCDC88C","14",91737667,91884188,146521
"281","ENSG00000015153","YAF2","12",42550906,42632151,81245
"282","ENSG00000015171","ZMYND11","10",180405,300577,120172
"283","ENSG00000015475","BID","22",18216906,18257536,40630
"284","ENSG00000015479","MATR3","5",138609441,138667360,57919
"285","ENSG00000015532","XYLT2","17",48423453,48440499,17046
"286","ENSG00000015592","STMN4","8",27092840,27115937,23097
"287","ENSG00000015676","NUDCD3","7",44418720,44530479,111759
"288","ENSG00000016391","CHDH","3",53846362,53880417,34055
"289","ENSG00000016864","GLT8D1","3",52728505,52740048,11543
"290","ENSG00000017260","ATP2C1","3",130569439,130735556,166117
"291","ENSG00000017373","SRCIN1","17",36686251,36762183,75932
"292","ENSG00000017797","RALBP1","18",9475007,9538114,63107
"293","ENSG00000018189","RUFY3","4",71569921,71673032,103111
"294","ENSG00000018236","CNTN1","12",41086244,41466220,379976
"295","ENSG00000018408","WWTR1","3",149235022,149454501,219479
"296","ENSG00000018510","AGPS","2",178257372,178408564,151192
"297","ENSG00000018610","CXorf56","X",118672112,118699397,27285
"298","ENSG00000018625","ATP1A2","1",160085549,160113381,27832
"299","ENSG00000018699","TTC27","2",32853099,33046118,193019
"300","ENSG00000018869","ZNF582","19",56887413,56904914,17501
"301","ENSG00000019144","PHLDB1","11",118477155,118528741,51586
"302","ENSG00000019485","PRDM11","11",45115564,45247734,132170
"303","ENSG00000019505","SYT13","11",45261852,45307870,46018
"304","ENSG00000019549","SNAI2","8",49830249,49834299,4050
"305","ENSG00000019991","HGF","7",81328322,81399754,71432
"306","ENSG00000019995","ZRANB1","10",126630692,126676758,46066
"307","ENSG00000020129","NCDN","1",36023074,36032875,9801
"308","ENSG00000020256","ZFP64","20",50668202,50820847,152645
"309","ENSG00000020426","MNAT1","14",61201460,61436671,235211
"310","ENSG00000020577","SAMD4A","14",55033815,55260033,226218
"311","ENSG00000020922","MRE11A","11",94152895,94227074,74179
"312","ENSG00000021300","PLEKHB1","11",73357223,73373864,16641
"313","ENSG00000021355","SERPINB1","6",2832566,2842240,9674
"314","ENSG00000021488","SLC7A9","19",33321415,33360672,39257
"315","ENSG00000021574","SPAST","2",32288680,32382706,94026
"316","ENSG00000021645","NRXN3","14",78708734,80330762,1622028
"317","ENSG00000021762","OSBPL5","11",3108346,3187969,79623
"318","ENSG00000021776","AQR","15",35147732,35262040,114308
"319","ENSG00000021826","CPS1","2",211342406,211543831,201425
"320","ENSG00000022267","FHL1","X",135229559,135293518,63959
"321","ENSG00000022277","RTFDC1","20",55043647,55093943,50296
"322","ENSG00000022556","NLRP2","19",55464498,55512510,48012
"323","ENSG00000022567","SLC45A4","8",142217265,142318404,101139
"324","ENSG00000022840","RNF10","12",120971283,121015397,44114
"325","ENSG00000022976","ZNF839","14",102783714,102809044,25330
"326","ENSG00000023041","ZDHHC6","10",114190058,114206672,16614
"327","ENSG00000023171","GRAMD1B","11",123396344,123498482,102138
"328","ENSG00000023191","RNH1","11",494512,507300,12788
"329","ENSG00000023228","NDUFS1","2",206979541,207024327,44786
"330","ENSG00000023287","RB1CC1","8",53535016,53658403,123387
"331","ENSG00000023318","ERP44","9",102741461,102861322,119861
"332","ENSG00000023330","ALAS1","3",52232102,52248343,16241
"333","ENSG00000023516","AKAP11","13",42846289,42897396,51107
"334","ENSG00000023572","GLRX2","1",193065598,193075244,9646
"335","ENSG00000023608","SNAPC1","14",62229075,62263146,34071
"336","ENSG00000023697","DERA","12",16064106,16190220,126114
"337","ENSG00000023734","STRAP","12",16035325,16056412,21087
"338","ENSG00000023839","ABCC2","10",101542489,101611949,69460
"339","ENSG00000023892","DEF6","6",35265595,35289548,23953
"340","ENSG00000023902","PLEKHO1","1",150121373,150136916,15543
"341","ENSG00000023909","GCLM","1",94350761,94374966,24205
"342","ENSG00000024048","UBR2","6",42531800,42661242,129442
"343","ENSG00000024526","DEPDC1","1",68939835,68962904,23069
"344","ENSG00000024862","CCDC28A","6",139094657,139114456,19799
"345","ENSG00000025039","RRAGD","6",90074355,90121989,47634
"346","ENSG00000025156","HSF2","6",122720691,122754264,33573
"347","ENSG00000025293","PHF20","20",34359896,34538303,178407
"348","ENSG00000025423","HSD17B6","12",57145945,57181574,35629
"349","ENSG00000025434","NR1H3","11",47269851,47290396,20545
"350","ENSG00000025770","NCAPH2","22",50946645,50961901,15256
"351","ENSG00000025772","TOMM34","20",43570771,43589127,18356
"352","ENSG00000025796","SEC63","6",108188960,108279393,90433
"353","ENSG00000025800","KPNA6","1",32573639,32642169,68530
"354","ENSG00000026025","VIM","10",17270258,17279592,9334
"355","ENSG00000026036","RTEL1-TNFRSF6B","20",62290653,62330037,39384
"356","ENSG00000026103","FAS","10",90750414,90775542,25128
"357","ENSG00000026297","RNASET2","6",167342992,167370679,27687
"358","ENSG00000026508","CD44","11",35160417,35253949,93532
"359","ENSG00000026559","KCNG1","20",49620193,49639666,19473
"360","ENSG00000026652","AGPAT4","6",161551011,161695093,144082
"361","ENSG00000026950","BTN3A1","6",26402465,26415444,12979
"362","ENSG00000027001","MIPEP","13",24304328,24463558,159230
"363","ENSG00000027697","IFNGR1","6",137518621,137540586,21965
"364","ENSG00000027847","B4GALT7","5",177027101,177037348,10247
"365","ENSG00000028116","VRK2","2",58134786,58387055,252269
"366","ENSG00000028137","TNFRSF1B","1",12227060,12269285,42225
"367","ENSG00000028203","VEZT","12",95611522,95696566,85044
"368","ENSG00000028277","POU2F2","19",42590263,42700737,110474
"369","ENSG00000028310","BRD9","5",850406,892939,42533
"370","ENSG00000028528","SNX1","15",64386322,64438289,51967
"371","ENSG00000028839","TBPL1","6",134273308,134311570,38262
"372","ENSG00000029153","ARNTL2","12",27485787,27576241,90454
"373","ENSG00000029363","BCLAF1","6",136578001,136610989,32988
"374","ENSG00000029364","SLC39A9","14",69864732,69929105,64373
"375","ENSG00000029534","ANK1","8",41510739,41754280,243541
"376","ENSG00000029639","TFB1M","6",155578643,155635627,56984
"377","ENSG00000029725","RABEP1","17",5185558,5289129,103571
"378","ENSG00000029993","HMGB3","X",150148982,150159248,10266
"379","ENSG00000030066","NUP160","11",47799639,47870107,70468
"380","ENSG00000030110","BAK1","6",33540329,33548019,7690
"381","ENSG00000030419","IKZF2","2",213864429,214017151,152722
"382","ENSG00000030582","GRN","17",42422614,42430470,7856
"383","ENSG00000031003","FAM13B","5",137273649,137387650,114001
"384","ENSG00000031081","ARHGAP31","3",119013220,119139561,126341
"385","ENSG00000031691","CENPQ","6",49431091,49460820,29729
"386","ENSG00000031698","SARS","1",109756540,109780791,24251
"387","ENSG00000031823","RANBP3","19",5916150,5978153,62003
"388","ENSG00000032219","ARID4A","14",58765103,58840605,75502
"389","ENSG00000032389","TSSC1","2",3192696,3381653,188957
"390","ENSG00000032444","PNPLA6","19",7598890,7626650,27760
"391","ENSG00000032742","IFT88","13",21140585,21265503,124918
"392","ENSG00000033011","ALG1","16",5083703,5137380,53677
"393","ENSG00000033030","ZCCHC8","12",122957417,122985518,28101
"394","ENSG00000033050","ABCF2","7",150904923,150924316,19393
"395","ENSG00000033100","CHPF2","7",150929575,150935908,6333
"396","ENSG00000033122","LRRC7","1",70034081,70617628,583547
"397","ENSG00000033170","FUT8","14",65877310,66210839,333529
"398","ENSG00000033178","UBA6","4",68478370,68566897,88527
"399","ENSG00000033327","GAB2","11",77926343,78129394,203051
"400","ENSG00000033627","ATP6V0A1","17",40610862,40674629,63767
"401","ENSG00000033800","PIAS1","15",68346517,68483096,136579
"402","ENSG00000033867","SLC4A7","3",27414214,27525911,111697
"403","ENSG00000034053","APBA2","15",29129629,29410518,280889
"404","ENSG00000034063","UHRF1","19",4903092,4962165,59073
"405","ENSG00000034152","MAP2K3","17",21187984,21218552,30568
"406","ENSG00000034239","EFCAB1","8",49623348,49647870,24522
"407","ENSG00000034510","TMSB10","2",85132749,85133795,1046
"408","ENSG00000034533","ASTE1","3",130732719,130746493,13774
"409","ENSG00000034677","RNF19A","8",101269288,101348446,79158
"410","ENSG00000034693","PEX3","6",143771944,143811147,39203
"411","ENSG00000034713","GABARAPL2","16",75600249,75611779,11530
"412","ENSG00000035115","SH3YL1","2",217730,266398,48668
"413","ENSG00000035141","FAM136A","2",70523107,70529222,6115
"414","ENSG00000035403","VCL","10",75757872,75879918,122046
"415","ENSG00000035499","DEPDC1B","5",59892739,59996017,103278
"416","ENSG00000035664","DAPK2","15",64199235,64364232,164997
"417","ENSG00000035681","NSMAF","8",59496063,59572403,76340
"418","ENSG00000035687","ADSS","1",244571796,244615436,43640
"419","ENSG00000035862","TIMP2","17",76849059,76921469,72410
"420","ENSG00000035928","RFC1","4",39289076,39367995,78919
"421","ENSG00000036054","TBC1D23","3",99979844,100044095,64251
"422","ENSG00000036257","CUL3","2",225334867,225450110,115243
"423","ENSG00000036448","MYOM2","8",1993155,2113475,120320
"424","ENSG00000036530","CYP46A1","14",100150641,100193638,42997
"425","ENSG00000036549","ZZZ3","1",78028101,78149104,121003
"426","ENSG00000036565","SLC18A1","8",20002366,20040717,38351
"427","ENSG00000037042","TUBG2","17",40811323,40819024,7701
"428","ENSG00000037241","RPL26L1","5",172385732,172396774,11042
"429","ENSG00000037280","FLT4","5",180028506,180076624,48118
"430","ENSG00000037474","NSUN2","5",6599352,6633404,34052
"431","ENSG00000037637","FBXO42","1",16573334,16678949,105615
"432","ENSG00000037749","MFAP3","5",153418466,153600038,181572
"433","ENSG00000037757","MRI1","19",13875346,13885096,9750
"434","ENSG00000037897","METTL1","12",58162254,58166576,4322
"435","ENSG00000038002","AGA","4",178351924,178363657,11733
"436","ENSG00000038210","PI4K2B","4",25162263,25280714,118451
"437","ENSG00000038219","BOD1L1","4",13570362,13629347,58985
"438","ENSG00000038274","MAT2B","5",162930120,162946342,16222
"439","ENSG00000038295","TLL1","4",166794410,167025047,230637
"440","ENSG00000038358","EDC4","16",67906926,67918406,11480
"441","ENSG00000038382","TRIO","5",14143811,14532235,388424
"442","ENSG00000038427","VCAN","5",82767284,82878122,110838
"443","ENSG00000038532","CLEC16A","16",11038345,11276046,237701
"444","ENSG00000039123","SKIV2L2","5",54603588,54721409,117821
"445","ENSG00000039139","DNAH5","5",13690440,13944652,254212
"446","ENSG00000039319","ZFYVE16","5",79703832,79775169,71337
"447","ENSG00000039523","FAM65A","16",67552321,67580691,28370
"448","ENSG00000039560","RAI14","5",34656342,34832732,176390
"449","ENSG00000039650","PNKP","19",50364461,50371166,6705
"450","ENSG00000040199","PHLPP2","16",71671738,71758604,86866
