;ensembl_gene_id;hgnc_symbol;chromosome_name;start_position;end_position;gene_length;DEG
118;ENSG00000049239;H6PD;1;9294834;9331396;36562;0
119;ENSG00000049245;VAMP3;1;7831329;7841492;10163;0
120;ENSG00000049246;PER3;1;7844380;7905237;60857;0
121;ENSG00000049449;RCN1;11;31833939;32127301;293362;0
122;ENSG00000050165;DKK3;11;11984653;12031316;46663;0
123;ENSG00000050405;LIMA1;12;50569571;50677329;107758;0
124;ENSG00000050426;LETMD1;12;51441745;51454207;12462;0
125;ENSG00000050438;SLC4A8;12;51785101;51902980;117879;0
126;ENSG00000050628;PTGER3;1;71318036;71513491;195455;0
127;ENSG00000051009;FAM160A2;11;6232565;6255941;23376;0
128;ENSG00000051825;MPHOSPH9;12;123636867;123728561;91694;0
129;ENSG00000052126;PLEKHA5;12;19282648;19529334;246686;0
130;ENSG00000052723;SIKE1;1;115312100;115323306;11206;0
131;ENSG00000052749;RRP12;10;99116115;99161127;45012;0
132;ENSG00000052841;TTC17;11;43380482;43516483;136001;0
133;ENSG00000053371;AKR7A2;1;19630459;19638640;8181;0
134;ENSG00000053372;MRTO4;1;19578033;19586622;8589;0
135;ENSG00000054116;TRAPPC3;1;36602173;36615098;12925;0
136;ENSG00000054118;THRAP3;1;36690017;36770958;80941;0
137;ENSG00000054267;ARID4B;1;235294949;235491534;196585;0
138;ENSG00000054277;OPN3;1;241753404;241840678;87274;0
139;ENSG00000054282;SDCCAG8;1;243419320;243663394;244074;0
140;ENSG00000054392;HHAT;1;210501596;210849638;348042;0
141;ENSG00000054523;KIF1B;1;10270863;10441661;170798;0
142;ENSG00000054965;FAM168A;11;73111532;73309234;197702;0
143;ENSG00000054967;RELT;11;73087309;73108519;21210;0
144;ENSG00000055070;SZRD1;1;16679070;16724640;45570;0
145;ENSG00000055950;MRPL43;10;102729215;102747272;18057;0
146;ENSG00000057252;SOAT1;1;179262925;179327815;64890;0
147;ENSG00000057294;PKP2;12;32943679;33049774;106095;0
148;ENSG00000057468;MSH4;1;76262567;76378923;116356;0
149;ENSG00000057608;GDI2;10;5807186;5884095;76909;0
150;ENSG00000057704;TMCC3;12;94960900;95044338;83438;0
151;ENSG00000057757;PITHD1;1;24104895;24114722;9827;0
152;ENSG00000058085;LAMC2;1;183155373;183214035;58662;0
153;ENSG00000058272;PPP1R12A;12;80167343;80329240;161897;0
154;ENSG00000058453;CROCC;1;17066768;17299474;232706;0
155;ENSG00000058668;ATP2B4;1;203595689;203713209;117520;0
156;ENSG00000058673;ZC3H11A;1;203764782;203823252;58470;0
157;ENSG00000058799;YIPF1;1;54317392;54356407;39015;0
158;ENSG00000058804;NDC1;1;54231133;54304533;73400;0
159;ENSG00000059573;ALDH18A1;10;97365696;97416463;50767;0
160;ENSG00000059588;TARBP1;1;234527059;234614849;87790;0
161;ENSG00000059758;CDK17;12;96672039;96794338;122299;0
162;ENSG00000059804;SLC2A3;12;8071826;8088871;17045;0
163;ENSG00000059915;PSD;10;104162376;104181296;18920;0
164;ENSG00000060138;YBX3;12;10851683;10875911;24228;1
165;ENSG00000060140;STYK1;12;10771538;10826917;55379;0
166;ENSG00000060237;WNK1;12;861759;1020618;158859;0
167;ENSG00000060339;CCAR1;10;70480769;70552134;71365;0
168;ENSG00000060642;PIGV;1;27113963;27124889;10926;0
169;ENSG00000060656;PTPRU;1;29563028;29653325;90297;0
170;ENSG00000060688;SNRNP40;1;31732417;31769662;37245;0
171;ENSG00000060709;RIMBP2;12;130880682;131200826;320144;0
172;ENSG00000060718;COL11A1;1;103342023;103574052;232029;0
173;ENSG00000060749;QSER1;11;32914724;33014862;100138;0
174;ENSG00000060982;BCAT1;12;24964295;25102393;138098;0
175;ENSG00000061273;HDAC7;12;48176505;48226915;50410;0
176;ENSG00000061794;MRPS35;12;27863706;27909228;45522;0
177;ENSG00000061936;SFSWAP;12;132195626;132284282;88656;0
178;ENSG00000061987;MON2;12;62860597;62991363;130766;0
179;ENSG00000062282;DGAT2;11;75470557;75512579;42022;0
180;ENSG00000062485;CS;12;56665483;56694176;28693;0
181;ENSG00000062650;WAPAL;10;88195013;88281572;86559;0
182;ENSG00000063046;EIF4B;12;53399942;53435993;36051;0
183;ENSG00000064102;ASUN;12;27058114;27091259;33145;0
184;ENSG00000064115;TM7SF3;12;27126128;27167367;41239;0
185;ENSG00000064199;SPA17;11;124543694;124567414;23720;0
186;ENSG00000064309;CDON;11;125825691;125933230;107539;0
187;ENSG00000064703;DDX20;1;112297867;112310638;12771;0
188;ENSG00000064763;FAR2;12;29302036;29493913;191877;1
189;ENSG00000065135;GNAI3;1;110091233;110136975;45742;0
190;ENSG00000065154;OAT;10;126085872;126107545;21673;0
191;ENSG00000065183;WDR3;1;118472343;118509165;36822;0
192;ENSG00000065243;PKN2;1;89149905;89301938;152033;0
193;ENSG00000065328;MCM10;10;13203554;13253104;49550;0
194;ENSG00000065357;DGKA;12;56321103;56347811;26708;0
195;ENSG00000065361;ERBB3;12;56473641;56497289;23648;0
196;ENSG00000065526;SPEN;1;16174359;16266955;92596;0
197;ENSG00000065600;TMEM206;1;212537273;212588243;50970;0
198;ENSG00000065613;SLK;10;105726959;105788991;62032;0
199;ENSG00000065621;GSTO2;10;106028631;106064703;36072;0
200;ENSG00000065665;SEC61A2;10;12171636;12211960;40324;1
201;ENSG00000065675;PRKCQ;10;6469105;6622263;153158;0
202;ENSG00000065809;FAM107B;10;14560556;14816896;256340;0
203;ENSG00000065970;FOXJ2;12;8185299;8208099;22800;0
204;ENSG00000065978;YBX1;1;43148098;43168020;19922;0
205;ENSG00000066027;PPP2R5A;1;212458879;212535200;76321;0
206;ENSG00000066056;TIE1;1;43766664;43788779;22115;0
207;ENSG00000066084;DIP2B;12;50898768;51142450;243682;0
208;ENSG00000066117;SMARCD1;12;50478755;50494495;15740;0
209;ENSG00000066135;KDM4A;1;44115829;44171186;55357;0
210;ENSG00000066136;NFYC;1;41157320;41237275;79955;0
211;ENSG00000066185;ZMYND12;1;42896000;42921938;25938;0
212;ENSG00000066279;ASPM;1;197053258;197115824;62566;0
213;ENSG00000066322;ELOVL1;1;43829068;43833696;4628;0
214;ENSG00000066382;MPPED2;11;30406040;30608419;202379;0
215;ENSG00000066468;FGFR2;10;123237848;123357972;120124;0
216;ENSG00000066557;LRRC40;1;70610488;70671303;60815;0
217;ENSG00000067057;PFKP;10;3108525;3179904;71379;0
218;ENSG00000067064;IDI1;10;1085848;1095110;9262;1
219;ENSG00000067082;KLF6;10;3818188;3827473;9285;0
220;ENSG00000067182;TNFRSF1A;12;6437923;6451280;13357;0
221;ENSG00000067208;EVI5;1;92974253;93257961;283708;0
222;ENSG00000067334;DNTTIP2;1;94333373;94345474;12101;0
223;ENSG00000067533;RRP15;1;218458629;218511325;52696;0
224;ENSG00000067606;PRKCZ;1;1981909;2116834;134925;0
225;ENSG00000067704;IARS2;1;220267444;220321380;53936;0
226;ENSG00000067715;SYT1;12;79257773;79845788;588015;0
227;ENSG00000067798;NAV3;12;78224685;78606790;382105;0
228;ENSG00000068383;INPP5A;10;134351324;134596979;245655;0
229;ENSG00000068831;RASGRP2;11;64494383;64512928;18545;0
230;ENSG00000068971;PPP2R5B;11;64685025;64701945;16920;0
231;ENSG00000068976;PYGM;11;64513861;64527769;13908;0
232;ENSG00000069248;NUP133;1;229577045;229644103;67058;0
233;ENSG00000069275;NUCKS1;1;205681947;205719404;37457;0
234;ENSG00000069424;KCNAB2;1;6051526;6161253;109727;0
235;ENSG00000069431;ABCC9;12;21950335;22094336;144001;0
236;ENSG00000069493;CLEC2D;12;9817565;9848413;30848;0
237;ENSG00000069696;DRD4;11;637293;640706;3413;0
238;ENSG00000069702;TGFBR3;1;92145902;92371892;225990;0
239;ENSG00000069712;KIAA1107;1;92632542;92650280;17738;0
240;ENSG00000069812;HES2;1;6472478;6484730;12252;0
241;ENSG00000070018;LRP6;12;12268959;12419946;150987;0
242;ENSG00000070047;PHRF1;11;576486;612222;35736;0
243;ENSG00000070081;NUCB2;11;17229700;17371521;141821;0
244;ENSG00000070748;CHAT;10;50817141;50901925;84784;0
245;ENSG00000070759;TESK2;1;45809555;45956872;147317;0
246;ENSG00000070785;EIF2B3;1;45316450;45452282;135832;0
247;ENSG00000070831;CDC42;1;22379120;22419437;40317;0
248;ENSG00000070886;EPHA8;1;22890057;22930087;40030;0
249;ENSG00000070961;ATP2B1;12;89981828;90103077;121249;0
250;ENSG00000072041;SLC6A15;12;85253492;85307394;53902;0
251;ENSG00000072401;UBE2D1;10;60094735;60130513;35778;0
252;ENSG00000072422;RHOBTB1;10;62629196;62761198;132002;0
253;ENSG00000072444;ASAH2C;10;48001603;48055018;53415;0
254;ENSG00000072518;MARK2;11;63606400;63678491;72091;0
255;ENSG00000072609;CHFR;12;133398773;133532890;134117;0
256;ENSG00000072657;TRHDE;12;72481046;73059422;578376;0
257;ENSG00000072952;MRVI1;11;10594638;10715535;120897;0
258;ENSG00000073060;SCARB1;12;125261402;125367214;105812;0
259;ENSG00000073614;KDM5A;12;389295;498620;109325;0
260;ENSG00000073756;PTGS2;1;186640923;186649559;8636;0
261;ENSG00000073910;FRY;13;32605437;32870794;265357;0
262;ENSG00000073921;PICALM;11;85668727;85780924;112197;0
263;ENSG00000074201;CLNS1A;11;77225981;77348850;122869;0
264;ENSG00000074266;EED;11;85955586;85989855;34269;0
265;ENSG00000074319;TSG101;11;18489883;18548779;58896;0
266;ENSG00000074527;NTN4;12;96051583;96184930;133347;1
267;ENSG00000074590;NUAK1;12;106457118;106533811;76693;0
268;ENSG00000074800;ENO1;1;8921061;8939308;18247;0
269;ENSG00000074964;ARHGEF10L;1;17866330;18024369;158039;0
270;ENSG00000075035;WSCD2;12;108523248;108644314;121066;0
271;ENSG00000075089;ACTR6;12;100592900;100635643;42743;0
272;ENSG00000075151;EIF4G3;1;21132963;21503377;370414;0
273;ENSG00000075188;NUP37;12;102467967;102513902;45935;0
274;ENSG00000075239;ACAT1;11;107992243;108018503;26260;0
275;ENSG00000075391;RASAL2;1;178062864;178448644;385780;0
276;ENSG00000075407;ZNF37A;10;38383264;38414472;31208;0
277;ENSG00000075415;SLC25A3;12;98987369;98995946;8577;0
278;ENSG00000075673;ATP12A;13;25254549;25285921;31372;0
279;ENSG00000075826;SEC31B;10;102246399;102289628;43229;0
280;ENSG00000075856;SART3;12;108916357;108955176;38819;0
281;ENSG00000075891;PAX2;10;102495360;102589698;94338;1
282;ENSG00000075945;KIFAP3;1;169890467;170054349;163882;0
283;ENSG00000076043;REXO2;11;114310108;114321001;10893;0
284;ENSG00000076053;RBM7;11;114270752;114284925;14173;0
285;ENSG00000076067;RBMS2;12;56915713;56984745;69032;0
286;ENSG00000076108;BAZ2A;12;56989380;57030600;41220;0
287;ENSG00000076248;UNG;12;109535379;109548797;13418;0
288;ENSG00000076258;FMO4;1;171283347;171311223;27876;0
289;ENSG00000076321;KLHL20;1;173684080;173755840;71760;0
290;ENSG00000076356;PLXNA2;1;208195587;208417665;222078;0
291;ENSG00000076513;ANKRD13A;12;110436991;110477568;40577;0
292;ENSG00000076555;ACACB;12;109554400;109706031;151631;0
293;ENSG00000076685;NT5C2;10;104845940;104953056;107116;0
294;ENSG00000076706;MCAM;11;119179241;119192231;12990;1
295;ENSG00000076864;RAP1GAP;1;21922708;21995801;73093;0
296;ENSG00000077147;TM9SF3;10;98277866;98347209;69343;0
297;ENSG00000077150;NFKB2;10;104153867;104162281;8414;0
298;ENSG00000077152;UBE2T;1;202300785;202311108;10323;0
299;ENSG00000077157;PPP1R12B;1;202317827;202561834;244007;0
300;ENSG00000077254;USP33;1;78161672;78225537;63865;0
301;ENSG00000077327;SPAG6;10;22634399;22743153;108754;0
302;ENSG00000077458;FAM76B;11;95502106;95523573;21467;0
303;ENSG00000077514;POLD3;11;74204896;74380162;175266;0
304;ENSG00000077522;ACTN2;1;236849754;236927931;78177;0
305;ENSG00000077549;CAPZB;1;19665267;19812066;146799;0
306;ENSG00000077585;GPR137B;1;236305832;236385165;79333;0
307;ENSG00000077616;NAALAD2;11;89864683;89926062;61379;0
308;ENSG00000078114;NEBL;10;21068902;21463116;394214;0
309;ENSG00000078124;ACER3;11;76571911;76737841;165930;0
310;ENSG00000078237;C12orf5;12;4430371;4462338;31967;0
311;ENSG00000078246;TULP3;12;2986389;3050306;63917;0
312;ENSG00000078369;GNB1;1;1716729;1822495;105766;0
313;ENSG00000078403;MLLT10;10;21823094;22032559;209465;0
314;ENSG00000078618;NRD1;1;52254863;52344477;89614;0
315;ENSG00000078808;SDF4;1;1152288;1167411;15123;0
316;ENSG00000078902;TOLLIP;11;1295601;1330884;35283;0
317;ENSG00000079277;MKNK1;1;47023090;47082515;59425;0
318;ENSG00000079332;SAR1A;10;71907045;71930279;23234;0
319;ENSG00000079335;CDC14A;1;100810584;100985833;175249;0
320;ENSG00000079337;RAPGEF3;12;48128455;48164823;36368;0
321;ENSG00000079387;SENP1;12;48436681;48500091;63410;0
322;ENSG00000079739;PGM1;1;64058947;64125916;66969;0
323;ENSG00000080371;RAB21;12;72148654;72184699;36045;0
324;ENSG00000080854;IGSF9B;11;133778459;133826880;48421;0
325;ENSG00000080947;CROCCP3;1;16793931;16825752;31821;0
326;ENSG00000081019;RSBN1;1;114304454;114355098;50644;0
327;ENSG00000081026;MAGI3;1;113933371;114228545;295174;0
328;ENSG00000081248;CACNA1S;1;201008642;201081694;73052;0
329;ENSG00000081692;JMJD4;1;227918126;227923112;4986;0
330;ENSG00000081721;DUSP12;1;161719548;161727028;7480;0
331;ENSG00000081760;AACS;12;125549925;125627873;77948;0
332;ENSG00000081870;HSPB11;1;54382247;54411602;29355;0
333;ENSG00000081985;IL12RB2;1;67773047;67862583;89536;0
334;ENSG00000082482;KCNK2;1;215179118;215410436;231318;0
335;ENSG00000082497;SERTAD4;1;210406144;210419976;13832;0
336;ENSG00000082512;TRAF5;1;211499957;211548288;48331;0
337;ENSG00000082805;ERC1;12;1099675;1605099;505424;0
338;ENSG00000083444;PLOD1;1;11994262;12035595;41333;0
339;ENSG00000083635;NUFIP1;13;45513384;45563618;50234;0
340;ENSG00000083642;PDS5B;13;33160564;33352157;191593;0
341;ENSG00000084070;SMAP2;1;40810522;40888998;78476;0
342;ENSG00000084072;PPIE;1;40157854;40229586;71732;0
343;ENSG00000084073;ZMPSTE24;1;40723779;40759856;36077;0
344;ENSG00000084112;SSH1;12;109176466;109251366;74900;0
345;ENSG00000084207;GSTP1;11;67351066;67354131;3065;0
346;ENSG00000084234;APLP2;11;129939732;130014699;74967;0
347;ENSG00000084444;KIAA1467;12;13197218;13295455;98237;0
348;ENSG00000084453;SLCO1A2;12;21417534;21572528;154994;0
349;ENSG00000084463;WBP11;12;14939410;14956474;17064;0
350;ENSG00000084623;EIF3I;1;32687529;32697205;9676;0
351;ENSG00000084628;NKAIN1;1;31652592;31712401;59809;0
352;ENSG00000084636;COL16A1;1;32117848;32169920;52072;0
353;ENSG00000084652;TXLNA;1;32645287;32663886;18599;0
354;ENSG00000085063;CD59;11;33719807;33757991;38184;0
355;ENSG00000085117;CD82;11;44585977;44641913;55936;0
356;ENSG00000085433;WDR47;1;109512836;109584850;72014;0
357;ENSG00000085465;OVGP1;1;111956936;111970399;13463;0
358;ENSG00000085491;SLC25A24;1;108676658;108743471;66813;0
359;ENSG00000085552;IGSF9;1;159896829;159915386;18557;0
360;ENSG00000085733;CTTN;11;70244510;70282690;38180;0
361;ENSG00000085741;WNT11;11;75897369;75921780;24411;0
362;ENSG00000085831;TTC39A;1;51752930;51810788;57858;0
363;ENSG00000085832;EPS15;1;51819935;51985000;165065;0
364;ENSG00000085840;ORC1;1;52838501;52870131;31630;0
365;ENSG00000085998;POMGNT1;1;46654354;46685977;31623;0
366;ENSG00000085999;RAD54L;1;46713360;46744145;30785;0
367;ENSG00000086015;MAST2;1;46252659;46501796;249137;0
368;ENSG00000086205;FOLH1;11;49168187;49230222;62035;0
369;ENSG00000086475;SEPHS1;10;13359424;13390297;30873;0
370;ENSG00000086598;TMED2;12;124069078;124083116;14038;0
371;ENSG00000086619;ERO1LB;1;236378855;236445319;66464;0
372;ENSG00000086827;ZW10;11;113603909;113644533;40624;0
373;ENSG00000086848;ALG9;11;111652919;111742305;89386;0
374;ENSG00000086991;NOX4;11;89057524;89322779;265255;0
375;ENSG00000087053;MTMR2;11;95566046;95658479;92433;0
376;ENSG00000087365;SF3B2;11;65818200;65836779;18579;0
377;ENSG00000087448;KLHL42;12;27932953;27955973;23020;0
378;ENSG00000087470;DNM1L;12;32832134;32898486;66352;0
379;ENSG00000087494;PTHLH;12;28111017;28125638;14621;0
380;ENSG00000087502;ERGIC2;12;29490285;29534122;43837;0
381;ENSG00000087884;AAMDC;11;77532155;77629478;97323;1
382;ENSG00000088035;ALG6;1;63833261;63904233;70972;0
383;ENSG00000088280;ASAP3;1;23755056;23811061;56005;0
384;ENSG00000088986;DYNLL1;12;120907653;120936296;28643;0
385;ENSG00000088992;TESC;12;117476728;117537284;60556;1
386;ENSG00000089009;RPL6;12;112842994;112856642;13648;0
387;ENSG00000089022;MAPKAPK5;12;112279782;112334343;54561;0
388;ENSG00000089053;ANAPC5;12;121746048;121837699;91651;0
389;ENSG00000089060;SLC8B1;12;113736564;113797298;60734;0
390;ENSG00000089094;KDM2B;12;121866900;122018920;152020;0
391;ENSG00000089116;LHX5;12;113899839;113910085;10246;1
392;ENSG00000089154;GCN1L1;12;120565007;120632513;67506;0
393;ENSG00000089157;RPLP0;12;120634489;120639038;4549;0
394;ENSG00000089159;PXN;12;120648250;120703574;55324;0
395;ENSG00000089163;SIRT4;12;120740119;120751052;10933;0
396;ENSG00000089169;RPH3A;12;113008184;113336686;328502;0
397;ENSG00000089220;PEBP1;12;118573663;118583389;9726;0
398;ENSG00000089225;TBX5;12;114791736;114846247;54511;0
399;ENSG00000089234;BRAP;12;112079950;112123790;43840;0
400;ENSG00000089248;ERP29;12;112451120;112461255;10135;0
401;ENSG00000089250;NOS1;12;117645947;117889975;244028;0
402;ENSG00000089597;GANAB;11;62392298;62414104;21806;0
403;ENSG00000089692;LAG3;12;6881678;6887621;5943;0
404;ENSG00000089693;MLF2;12;6857170;6876641;19471;0
405;ENSG00000089818;NECAP1;12;8234807;8250367;15560;0
406;ENSG00000089876;DHX32;10;127524906;127585005;60099;0
407;ENSG00000090020;SLC9A1;1;27425306;27493472;68166;0
408;ENSG00000090273;NUDC;1;27226729;27273353;46624;0
409;ENSG00000090376;IRAK3;12;66582659;66648402;65743;0
410;ENSG00000090382;LYZ;12;69742121;69748014;5893;0
411;ENSG00000090432;MUL1;1;20825943;20834654;8711;0
412;ENSG00000090612;ZNF268;12;133707570;133783698;76128;0
413;ENSG00000090615;GOLGA3;12;133345495;133405444;59949;0
414;ENSG00000090621;PABPC4;1;40026488;40042462;15974;0
415;ENSG00000090686;USP48;1;22004791;22110099;105308;0
416;ENSG00000090975;PITPNM2;12;123468027;123634562;166535;0
417;ENSG00000091039;OSBPL8;12;76745577;76953589;208012;0
418;ENSG00000091483;FH;1;241660903;241683061;22158;0
419;ENSG00000091664;SLC17A6;11;22359643;22401049;41406;0
420;ENSG00000092607;TBX15;1;119425669;119532179;106510;0
421;ENSG00000092621;PHGDH;1;120202421;120286838;84417;1
422;ENSG00000092841;MYL6;12;56551945;56557280;5335;0
423;ENSG00000092847;AGO1;1;36335409;36395211;59802;0
424;ENSG00000092850;TEKT2;1;36549676;36553876;4200;0
425;ENSG00000092853;CLSPN;1;36185819;36235568;49749;1
426;ENSG00000092969;TGFB2;1;218519577;218617961;98384;0
427;ENSG00000092978;GPATCH2;1;217600334;217804424;204090;0
428;ENSG00000094914;AAAS;12;53701240;53718648;17408;0
429;ENSG00000094916;CBX5;12;54624724;54673886;49162;0
430;ENSG00000094975;SUCO;1;172501489;172580971;79482;0
431;ENSG00000095139;ARCN1;11;118443105;118473748;30643;0
432;ENSG00000095485;CWF19L1;10;101992055;102027437;35382;0
433;ENSG00000095539;SEMA4G;10;102729275;102745628;16353;0
434;ENSG00000095564;BTAF1;10;93683526;93790082;106556;0
435;ENSG00000095574;IKZF5;10;124750322;124768333;18011;0
436;ENSG00000095587;TLL2;10;98124363;98273675;149312;0
437;ENSG00000095596;CYP26A1;10;94833232;94837647;4415;0
